niu,rad,degrees,results,error,,,
0,0,0,0,0,,,
"0,1","0,099668652491162","5,71059313749964","0,056403","-43,4094887507369",,"0,099668652491162","0,56403"
"0,2","0,197395559849881","11,3099324740202","0,127811","-35,2513298185633",,"0,197395559849881","0,639055"
"0,3","0,291456794477867","16,6992442339936","0,193803","-33,5054101767673",,"0,291456794477867","0,64601"
"0,4","0,380506377112365","21,8014094863518","0,265642","-30,1872410086954",,"0,380506377112365","0,664105"
"0,5","0,463647609000806","26,565051177078","0,33325","-28,1242923438821",,"0,463647609000806","0,6665"
"0,6","0,540419500270584","30,9637565320735","0,398657","-26,2319365233128",,"0,540419500270584","0,664428333333333"
"0,7","0,610725964389209","34,9920201985587","0,474762","-22,2626795514069",,"0,610725964389209","0,678231428571428"
"0,8","0,674740942223553","38,6598082540901",,,,"0,674740942223553",
"0,9","0,732815101786507","41,9872124958167",,,,"0,732815101786507",
1,"0,785398163397448",45,,,,"0,785398163397448",
